순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
100,석조저택 살인사건,2017-05-09,"2,825,346,886",0.2%,"353,043",539,한국,한국,씨네그루(주)키다리이엔티
101,싱글라이더,2017-02-22,"2,685,519,021",0.2%,"351,276",576,한국,한국,워너브러더스 코리아(주)
102,7호실,2017-11-15,"2,677,284,639",0.2%,"347,790",629,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
103,몬스터 패밀리,2017-12-21,"2,531,182,700",0.1%,"341,614",617,독일,독일,씨네그루(주)키다리이엔티
104,내 사랑,2017-07-12,"2,457,103,625",0.1%,"336,106",233,아일랜드,"아일랜드,캐나다",오드
105,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,"2,417,712,700",0.1%,"333,082",547,일본,일본,씨제이이앤엠(주)
106,사랑하기 때문에,2017-01-04,"2,538,169,440",0.1%,"324,420",542,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
107,희생부활자,2017-10-12,"2,515,479,835",0.1%,"323,628",781,한국,한국,(주)쇼박스
108,옥자,2017-06-29,"2,432,883,900",0.1%,"321,550",111,미국,미국,(주)넥스트엔터테인먼트월드(NEW)
109,블레이드 러너 2049,2017-10-12,"2,764,093,365",0.2%,"321,424",664,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
110,빅풋 주니어,2017-08-09,"2,260,352,900",0.1%,"320,545",437,벨기에,"벨기에,프랑스",(주)이수C&E
111,존 윅 - 리로드,2017-02-22,"2,205,582,600",0.1%,"276,379",250,미국,미국,(주)제이앤씨미디어그룹
112,목소리의 형태,2017-05-09,"2,170,292,214",0.1%,"275,983",466,일본,일본,(주)디스테이션
113,판도라,2016-12-07,"2,109,062,900",0.1%,"269,781","1,166",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
114,공범자들,2017-08-17,"2,035,211,800",0.1%,"260,512",228,한국,한국,(주)엣나인필름
115,미옥,2017-11-09,"1,897,705,564",0.1%,"238,587",635,한국,한국,씨네그루(주)키다리이엔티
116,어느날,2017-04-05,"1,845,841,582",0.1%,"234,681",532,한국,한국,"오퍼스픽쳐스(유),CGV아트하우스"
117,딥,2017-10-03,"1,772,272,000",0.1%,"230,068",441,스페인,스페인,(주)이수C&E
118,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,2017-09-27,"1,581,375,300",0.1%,"215,203",486,일본,일본,씨제이이앤엠(주)
119,어쌔신: 더 비기닝,2017-12-07,"1,593,848,000",0.1%,"205,368",528,미국,미국,(주)이수C&E
120,발레리나,2017-02-09,"1,517,736,400",0.1%,"202,411",434,프랑스,"프랑스,캐나다",판씨네마(주)
121,50가지 그림자: 심연,2017-02-09,"1,589,180,900",0.1%,"189,620",435,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
122,핵소 고지,2017-02-22,"1,342,081,900",0.1%,"177,601",442,미국,"미국,호주",판씨네마(주)
123,문라이트,2017-02-22,"1,403,639,195",0.1%,"177,483",173,미국,미국,CGV아트하우스
124,채비,2017-11-09,"1,260,467,864",0.1%,"177,428",480,한국,한국,오퍼스픽쳐스(유)
125,"나는 내일, 어제의 너와 만난다",2017-10-12,"1,344,808,900",0.1%,"175,518",206,일본,일본,(주)디스테이션
126,예수는 역사다,2017-07-13,"1,242,169,400",0.1%,"172,414",217,미국,미국,(재)CBS
127,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,2017-08-10,"1,181,952,900",0.1%,"167,052",351,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
128,더 큐어,2017-02-15,"1,331,883,200",0.1%,"159,948",419,미국,"미국,독일",이십세기폭스코리아(주)
